"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSMUSG00000005800.4" 5.7430293364018 4.15145374711373 24.3219533947028 1.25529276782061e-14 3.20099655794257e-12 21.8721855436518
"ENSMUSG00000016496.8" -3.55172021460806 6.43142949672074 -24.26493368759 1.30490731305514e-14 3.25671548556102e-12 23.803175865859
"ENSMUSG00000040809.11" 3.89418188855807 7.1869535864312 24.0724796451111 1.48825772044506e-14 3.61867446620952e-12 23.6662130033449
"ENSMUSG00000032035.17" -4.38272152062809 5.19456178414813 -24.0497588498781 1.51163724504916e-14 3.61867446620952e-12 23.4495360777295
"ENSMUSG00000020340.17" -2.2439926062052 8.67709402858193 -23.8157697087964 1.77630052487428e-14 4.08556043887301e-12 23.3741774664088
"ENSMUSG00000034731.12" -1.73824441892703 6.62559417173305 -23.7895283049112 1.80890212431075e-14 4.08556043887301e-12 23.4747305923959
"ENSMUSG00000000440.13" -3.35523311001348 5.23999873765837 -23.7877289584709 1.81116063786357e-14 4.08556043887301e-12 23.4115513935393
"ENSMUSG00000025701.13" -2.73490345540655 5.30240916786497 -23.5713284621372 2.10578243274674e-14 4.66053357285268e-12 23.2701846501363
"ENSMUSG00000021242.10" 1.79981798603232 8.97514355269161 23.5389550414509 2.15404376708927e-14 4.67906173851059e-12 23.1505837943956
"ENSMUSG00000059325.15" 2.50526094252022 5.27640313189249 23.4476682491555 2.29653599227738e-14 4.89788494352975e-12 23.1896667755988
"ENSMUSG00000026473.18" 1.36198488429842 7.64798959695399 23.4069829471508 2.36322257164732e-14 4.95010727953983e-12 23.1299816020516
"ENSMUSG00000026579.9" 3.90220207381745 5.47718459669739 23.1438201617205 2.84714363535181e-14 5.85912190222398e-12 22.8678286489615
"ENSMUSG00000054676.18" 2.34873354514043 6.13320302099903 23.0912999476944 2.95569417234957e-14 5.9354687384201e-12 23.0007989177202
"ENSMUSG00000051413.18" -1.28692436249813 8.06471658411047 -23.0772613771879 2.98544463398794e-14 5.9354687384201e-12 22.8633869552201
"ENSMUSG00000033530.9" -2.1057096798828 5.56984455123717 -23.0459011983942 3.05305236085795e-14 5.96871736547729e-12 22.9635064286914
"ENSMUSG00000023942.16" -1.9153842166379 5.86193388464552 -22.8754086036862 3.45004950496532e-14 6.53350487306054e-12 22.8467504592179
"ENSMUSG00000030789.10" -3.98167729559923 7.36028198540923 -22.8740819674453 3.45334443418375e-14 6.53350487306054e-12 22.816446678975
"ENSMUSG00000107355.4" 3.0527445719604 4.82600866332896 22.8205629092551 3.5890815805392e-14 6.6825280856706e-12 22.6720620069607
"ENSMUSG00000023186.15" 1.66341287595123 7.10926543992676 22.5340016133988 4.41841759988726e-14 8.09813100729336e-12 22.5374835215267
"ENSMUSG00000024597.12" -3.76581460264407 6.98784967760962 -22.4804995516274 4.59454374745914e-14 8.29138433195319e-12 22.5225907647012
"ENSMUSG00000022637.12" -1.36305320527583 7.27985541208055 -22.4396408688774 4.73404050361703e-14 8.413681076883e-12 22.4542848076438
"ENSMUSG00000045087.9" -2.8391281776133 7.55047467684 -22.3824059492526 4.93702313372886e-14 8.52948326500071e-12 22.4004531336511
"ENSMUSG00000055541.20" -2.42104157105468 7.32420602677512 -22.3706584153513 4.97981209643205e-14 8.52948326500071e-12 22.4245811088218
